1, BUF, EV, 201402,0.32222223,4,11
1, BUF, EV, 201510,0.33971632,6,35
1, BUF, FL, 200706,0.1375,2,29
1, BUF, FL, 201003,0.0,0,2
1, BUF, FL, 201111,0.08609272,1,4
1, BUF, MQ, 200403,2.695601,33,87
1, BUF, MQ, 200511,1.3567497,18,63
1, BUF, MQ, 200808,1.3111113,20,72
1, BUF, MQ, 201105,1.613072,22,37
1, BUF, MQ, 201402,0.68888897,9,28
1, BUF, MQ, 201510,0.81228745,13,72
1, BUF, NW, 199304,0.12727273,1,1
1, BUF, NW, 199709,0.38743147,12,50
1, BUF, NW, 200006,0.5846616,14,45
1, BUF, NW, 200303,0.20869565,4,21
1, BUF, NW, 200411,0.01724138,1,25
1, BUF, NW, 200708,0.017246507,2,21
1, BUF, OO, 201504,0.16755319,3,7
1, BUF, PI, 198905,0.67593986,7,28
1, BUF, RU, 200406,0.63325536,7,20
1, BUF, UA, 199001,1.120482,11,16
1, BUF, UA, 199109,1.5130082,21,52
1, BUF, UA, 199406,3.340379,38,99
1, BUF, UA, 199703,3.5856855,31,90
1, BUF, UA, 199811,3.0315013,36,113
1, BUF, UA, 200108,0.34117648,4,17
1, BUF, UA, 200405,0.46516478,10,35
1, BUF, UA, 200702,0.23157895,2,7
1, BUF, UA, 200810,0.907061,13,79
1, BUF, UA, 201107,0.17391303,2,8
1, BUF, US, 198902,6.7196393,46,63
1, BUF, US, 199010,1.1764708,11,28
1, BUF, US, 199307,3.9791667,28,48
1, BUF, US, 199604,2.2093883,19,43
1, BUF, US, 199712,0.024844721,1,4
1, BUF, US, 199901,0.300893,5,39
1, BUF, US, 200009,0.9423078,9,28
1, BUF, US, 200603,0.118421055,2,3
1, BUF, WN, 200303,0.34317088,10,50
1, BUF, WN, 200411,0.12916668,6,30
1, BUF, WN, 200708,1.4381278,28,89
1, BUF, WN, 201005,1.8371077,31,139
1, BUF, WN, 201302,1.0141982,24,104
1, BUF, WN, 201410,0.57251835,12,64
1, BUF, XE, 200704,0.9122807,7,17
1, BUF, XE, 201001,0.22727272,2,3
1, BUF, YV, 200602,0.6395922,7,23
1, BUF, YV, 200710,0.19684663,3,7
1, BUF, YV, 201007,0.03529412,1,2
1, BUF, YV, 201304,0.28232324,4,12
1, CHO, OO, 201504,0.4583149,7,46
1, CHO, US, 199010,0.28947368,2,24
1, EYW, DL, 201002,0.13821137,3,6
1, EYW, DL, 201407,0.05882353,1,3
1, EYW, MQ, 200106,0.5272727,5,27
1, EYW, PI, 198905,3.3333337,21,47
1, EYW, US, 199010,2.5609756,20,55
1, FSD, DL, 199004,3.3664107,35,51
